gene,direction,celltype,lda_shift
MYT1L,down,Ex.L5.VAT1L_THSD4,0.030036722005323917
MYT1L,down,Ex.L5.VAT1L_EYA4,0.018596633589533892
MYT1L,down,Ex.L3_L5.SCN4B_NEFH,0.007630664953362544
MYT1L,up,Ex.L5.VAT1L_THSD4,0.01573510176649736
MYT1L,up,Ex.L5.VAT1L_EYA4,0.015341481012712295
MYT1L,up,Ex.L3_L5.SCN4B_NEFH,0.003865770173795098
REST,down,Ex.L5.VAT1L_THSD4,0.003698300646486584
REST,down,Ex.L5.VAT1L_EYA4,-6.550066027936432e-06
REST,down,Ex.L3_L5.SCN4B_NEFH,-0.0019731311299333973
REST,up,Ex.L5.VAT1L_THSD4,-0.024204895600872793
REST,up,Ex.L5.VAT1L_EYA4,0.05094860788419223
REST,up,Ex.L3_L5.SCN4B_NEFH,-0.005217462098414755
SREBF2,down,Ex.L5.VAT1L_THSD4,0.023065812771693374
SREBF2,down,Ex.L5.VAT1L_EYA4,0.006927658069519089
SREBF2,down,Ex.L3_L5.SCN4B_NEFH,-0.0016795561971444883
SREBF2,up,Ex.L5.VAT1L_THSD4,-0.05349596693637627
SREBF2,up,Ex.L5.VAT1L_EYA4,0.024017644907462374
SREBF2,up,Ex.L3_L5.SCN4B_NEFH,0.007386781106015224
LYNX1,down,Ex.L5.VAT1L_THSD4,0.016113537142964218
LYNX1,down,Ex.L5.VAT1L_EYA4,0.016035783312914657
LYNX1,down,Ex.L3_L5.SCN4B_NEFH,0.008745600401110628
LYNX1,up,Ex.L5.VAT1L_THSD4,-0.047379306958216995
LYNX1,up,Ex.L5.VAT1L_EYA4,0.011830598634191265
LYNX1,up,Ex.L3_L5.SCN4B_NEFH,0.04132453362178945
TBR1,down,Ex.L5.VAT1L_THSD4,0.010255776771367532
TBR1,down,Ex.L5.VAT1L_EYA4,-0.002191551539557855
TBR1,down,Ex.L3_L5.SCN4B_NEFH,0.0021338039544236543
TBR1,up,Ex.L5.VAT1L_THSD4,-0.029299992079550394
TBR1,up,Ex.L5.VAT1L_EYA4,0.05005162943761406
TBR1,up,Ex.L3_L5.SCN4B_NEFH,-0.018153939900107198
KIF5A,down,Ex.L5.VAT1L_THSD4,0.023678571702104478
KIF5A,down,Ex.L5.VAT1L_EYA4,0.01876655000825791
KIF5A,down,Ex.L3_L5.SCN4B_NEFH,0.02125274722458774
KIF5A,up,Ex.L5.VAT1L_THSD4,-0.015245296967213575
KIF5A,up,Ex.L5.VAT1L_EYA4,-0.028684797191398187
KIF5A,up,Ex.L3_L5.SCN4B_NEFH,-0.04395782489472828
DCTN1,down,Ex.L5.VAT1L_THSD4,0.01125515314193617
DCTN1,down,Ex.L5.VAT1L_EYA4,0.01187585705311582
DCTN1,down,Ex.L3_L5.SCN4B_NEFH,0.01326821797888172
DCTN1,up,Ex.L5.VAT1L_THSD4,-0.060284571429745616
DCTN1,up,Ex.L5.VAT1L_EYA4,-0.002790600655744581
DCTN1,up,Ex.L3_L5.SCN4B_NEFH,-0.03697771812274825
DYNC1H1,down,Ex.L5.VAT1L_THSD4,0.025012815453064448
DYNC1H1,down,Ex.L5.VAT1L_EYA4,0.027715941872489304
DYNC1H1,down,Ex.L3_L5.SCN4B_NEFH,0.0225822819066629
DYNC1H1,up,Ex.L5.VAT1L_THSD4,-0.08255734325761453
DYNC1H1,up,Ex.L5.VAT1L_EYA4,-0.0071576433864503405
DYNC1H1,up,Ex.L3_L5.SCN4B_NEFH,0.008817387455878577
TUBA4A,down,Ex.L5.VAT1L_THSD4,0.0035266863398066323
TUBA4A,down,Ex.L5.VAT1L_EYA4,0.011227109193473422
TUBA4A,down,Ex.L3_L5.SCN4B_NEFH,0.012690045636073682
TUBA4A,up,Ex.L5.VAT1L_THSD4,-0.032917001738662265
TUBA4A,up,Ex.L5.VAT1L_EYA4,-0.015099706516682134
TUBA4A,up,Ex.L3_L5.SCN4B_NEFH,0.03492839648591897
NEFH,down,Ex.L5.VAT1L_THSD4,0.024019441253305393
NEFH,down,Ex.L5.VAT1L_EYA4,0.022364857443102685
NEFH,down,Ex.L3_L5.SCN4B_NEFH,-0.01107574292546547
NEFH,up,Ex.L5.VAT1L_THSD4,-0.009910949779449531
NEFH,up,Ex.L5.VAT1L_EYA4,0.009393616966343743
NEFH,up,Ex.L3_L5.SCN4B_NEFH,0.008859161095039807
TTC14,down,Ex.L5.VAT1L_THSD4,0.013812048045271983
TTC14,down,Ex.L5.VAT1L_EYA4,0.0009958778653410226
TTC14,down,Ex.L3_L5.SCN4B_NEFH,-0.0026770550462989493
TTC14,up,Ex.L5.VAT1L_THSD4,-0.03941821871028324
TTC14,up,Ex.L5.VAT1L_EYA4,0.029729349471361223
TTC14,up,Ex.L3_L5.SCN4B_NEFH,0.010812583918529265
HSP90AA1,down,Ex.L5.VAT1L_THSD4,0.02868927945089213
HSP90AA1,down,Ex.L5.VAT1L_EYA4,0.003807886053957284
HSP90AA1,down,Ex.L3_L5.SCN4B_NEFH,-0.013999235118945633
HSP90AA1,up,Ex.L5.VAT1L_THSD4,0.03241671710828179
HSP90AA1,up,Ex.L5.VAT1L_EYA4,0.030577879043611
HSP90AA1,up,Ex.L3_L5.SCN4B_NEFH,0.005425904619709526
