gene,expr(PN-sALS),LDA KU,LDA KD,KNN KU,KNN KD,LDA KU/KD opp,KNN KU/KD opp,LDA KU ct agree,KNN KU ct agree,LDA KU exp=obs,KNN KU exp=obs,lda_reliability,knn_reliability
MYT1L,4.09,0.0116,0.0188,0.00125,-0.00013,False,True,True,False,True,True,2,2
KIF5A,1.71,-0.0293,0.0212,-0.00075,0.00013,True,True,True,True,False,False,2,2
DCTN1,0.77,-0.0334,0.0121,0.00238,0.00075,True,False,True,True,False,True,2,2
SREBF2,1.36,-0.0074,0.0094,0.00313,-0.00025,True,True,False,True,False,True,1,3
TBR1,0.02,0.0009,0.0034,-0.00138,0.00013,False,True,False,True,True,False,1,2
DYNC1H1,1.06,-0.027,0.0251,0.00201,-0.00075,True,True,False,False,False,True,1,2
TUBA4A,0.56,-0.0044,0.0091,-0.00526,0.00025,True,True,False,True,False,False,1,2
NEFH,0.58,0.0028,0.0118,-0.00338,0.00025,False,True,False,True,True,False,1,2
HSP90AA1,-1.07,0.0228,0.0062,-0.0005,0.00063,False,True,True,False,False,True,1,2
LYNX1,0.88,0.0019,0.0136,0.00038,0.00063,False,False,False,False,True,True,1,1
TTC14,2.54,0.0004,0.004,-0.0005,-0.0,False,False,False,True,True,False,1,1
REST,-0.01,0.0072,0.0006,-0.00175,-0.00025,False,False,False,False,False,True,0,1
